Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;19/09/2017;1200;0;;
83914;20/09/2017;0000;;22.3;
83914;20/09/2017;1200;0;;
83914;21/09/2017;0000;;23.02;
83914;21/09/2017;1200;0;;
83914;22/09/2017;0000;;21.54;
83914;22/09/2017;1200;0;;
83914;23/09/2017;0000;;17.1;
83914;23/09/2017;1200;4.6;;
83914;24/09/2017;0000;;18.74;
83914;24/09/2017;1200;2;;
83914;25/09/2017;0000;;20.3;
83914;25/09/2017;1200;0;;
83914;26/09/2017;0000;;21.06;
83914;26/09/2017;1200;0;;
83914;27/09/2017;0000;;18.46;
83914;27/09/2017;1200;0;;
83914;28/09/2017;0000;;16.18;
83914;28/09/2017;1200;3;;
83914;29/09/2017;0000;;14.18;
83914;29/09/2017;1200;12.6;;
83914;30/09/2017;0000;;17.98;
83914;30/09/2017;1200;5.8;;
83914;01/10/2017;0000;;16.88;
83914;01/10/2017;1200;0.1;;
83914;02/10/2017;0000;;12.86;
83914;02/10/2017;1200;32;;
83914;03/10/2017;0000;;13.28;
83914;03/10/2017;1200;1.4;;
83914;04/10/2017;0000;;16.36;
83914;04/10/2017;1200;0;;
83914;05/10/2017;0000;;20.44;
83914;05/10/2017;1200;0;;
83914;06/10/2017;0000;;17.7;
83914;06/10/2017;1200;0.1;;
83914;07/10/2017;0000;;17.86;
83914;07/10/2017;1200;17.2;;
83914;08/10/2017;0000;;17.82;
83914;08/10/2017;1200;1.2;;
83914;09/10/2017;0000;;19.92;
83914;09/10/2017;1200;10;;
83914;10/10/2017;0000;;18.84;
83914;10/10/2017;1200;0.1;;
83914;11/10/2017;0000;;19.16;
83914;11/10/2017;1200;51.6;;
83914;12/10/2017;0000;;19.54;
83914;12/10/2017;1200;36.1;;
83914;13/10/2017;0000;;16.96;
83914;13/10/2017;1200;27.6;;
83914;14/10/2017;0000;;14.54;
83914;14/10/2017;1200;19.8;;
83914;15/10/2017;0000;;16.88;
83914;15/10/2017;1200;0.2;;
83914;16/10/2017;0000;;19.64;
83914;16/10/2017;1200;0;;
83914;17/10/2017;0000;;20.96;
83914;17/10/2017;1200;0;;
83914;18/10/2017;0000;;23.4;
83914;18/10/2017;1200;0;;
83914;19/10/2017;0000;;18.38;
83914;19/10/2017;1200;23.2;;
83914;20/10/2017;0000;;19.88;
83914;20/10/2017;1200;0.4;;
83914;21/10/2017;0000;;17.22;
83914;21/10/2017;1200;12.6;;
83914;22/10/2017;0000;;13.22;
83914;22/10/2017;1200;13.6;;
83914;23/10/2017;0000;;13.72;
83914;23/10/2017;1200;0;;
83914;24/10/2017;0000;;19.16;
83914;24/10/2017;1200;0;;
83914;25/10/2017;0000;;16.22;
83914;25/10/2017;1200;10.4;;
83914;26/10/2017;0000;;18.4;
83914;26/10/2017;1200;0;;
83914;27/10/2017;0000;;18.42;
83914;27/10/2017;1200;0;;
83914;28/10/2017;0000;;17.14;
83914;28/10/2017;1200;10.8;;
83914;29/10/2017;0000;;18.64;
83914;29/10/2017;1200;0;;
83914;30/10/2017;0000;;19.58;
83914;30/10/2017;1200;7.8;;
83914;31/10/2017;0000;;17.3;
83914;31/10/2017;1200;0;;
83914;01/11/2017;0000;;18;
83914;01/11/2017;1200;0;;
83914;02/11/2017;0000;;19.98;
83914;02/11/2017;1200;0;;
83914;03/11/2017;0000;;17.04;
83914;03/11/2017;1200;16;;
83914;04/11/2017;0000;;16.4;
83914;04/11/2017;1200;24.1;;
83914;05/11/2017;0000;;16.62;
83914;05/11/2017;1200;3;;
83914;06/11/2017;0000;;19.06;
83914;06/11/2017;1200;0;;
83914;07/11/2017;0000;;20.94;
83914;07/11/2017;1200;0;;
83914;08/11/2017;0000;;19.48;
83914;08/11/2017;1200;0;;
